Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-04-12 23:18:15,32.3182,-86.9023,3563,93,,3470.0,1.0,75.98802021,21583.0,437.0,2.610159978,84000001.0,USA,460.3001516,12.26494527
Alaska,US,2020-04-12 23:18:15,61.3707,-152.4044,272,8,66.0,264.0,2.0,45.50404936,8038.0,31.0,2.9411764710000003,84000002.0,USA,1344.711576,11.39705882
Arizona,US,2020-04-12 23:18:15,33.7298,-111.4312,3542,115,,3427.0,4.0,48.66242224,42109.0,,3.246753247,84000004.0,USA,578.5222863,
Arkansas,US,2020-04-12 23:18:15,34.9697,-92.3731,1280,27,367.0,1253.0,5.0,49.43942261,19722.0,130.0,2.109375,84000005.0,USA,761.7533537,10.15625
California,US,2020-04-12 23:18:15,36.1162,-119.6816,22795,640,,22155.0,6.0,58.13772584,190328.0,5234.0,2.81202018,84000006.0,USA,485.42386849999997,22.9611757
Colorado,US,2020-04-12 23:18:15,39.0598,-105.3111,7307,289,,7018.0,8.0,128.943729,34873.0,1376.0,3.955111537,84000008.0,USA,615.3899908,18.8312577
Connecticut,US,2020-04-12 23:18:15,41.5978,-72.7554,12035,554,,11481.0,9.0,337.56048250000003,41220.0,1654.0,4.6032405480000005,84000009.0,USA,1156.148159,13.74324886
Delaware,US,2020-04-12 23:18:15,39.3185,-75.5071,1625,35,191.0,1590.0,10.0,166.8782169,11103.0,190.0,2.153846154,84000010.0,USA,1140.214672,11.69230769
Diamond Princess,US,2020-04-12 23:18:15,,,49,0,0.0,49.0,888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-04-12 23:18:15,38.8974,-77.0268,1875,50,493.0,1825.0,11.0,265.6751905,10640.0,,2.666666667,84000011.0,USA,1507.618148,
Florida,US,2020-04-12 23:18:15,27.7663,-81.6868,19895,461,,19434.0,12.0,93.70022691,182753.0,2772.0,2.317165117,84000012.0,USA,860.7186513,13.93314903
Georgia,US,2020-04-12 23:18:15,33.0406,-83.6431,12452,433,,12019.0,13.0,122.80814050000001,54453.0,2505.0,3.4773530360000002,84000013.0,USA,537.0439828,20.11725024
